time_ratio|free_energy(kcal/mol)|Rolling_STD(kcal/mol)
0.01|3.872157032340525|0.11336129475890908
0.02|4.050685787175831|0.11336129475890908
0.03|3.848676534645348|0.11336129475890908
0.04|3.87892197370067|0.11336129475890908
0.05|3.794106121833489|0.11336129475890908
0.06|3.8165435561698637|0.11336129475890908
0.07|3.7623397076439944|0.11336129475890908
0.08|3.6973581693208377|0.11336129475890908
0.09|3.72526297268784|0.11336129475890908
0.1|3.699961415881537|0.11336129475890908
0.11|3.6709057975149517|0.11336129475890908
0.12|3.403976893188087|0.13361643685433175
0.13|3.300238151211035|0.18287800556320788
0.14|2.824095596827844|0.31128876827233926
0.15|2.591000419090497|0.4261354169553045
0.16|2.171345827400367|0.5638676531842683
0.17|1.8931303852597032|0.6847757117856286
0.18|1.7286844386642208|0.7708159143908252
0.19|1.6065715124345177|0.8092570286884994
0.2|1.5127497380306756|0.8011911597326362
0.21|1.4329376843193424|0.7386810168605492
0.22|1.3703496423155894|0.6603921360773077
0.23|1.3205669232266821|0.5243884053601708
0.24|1.281587545689879|0.4211311382255696
0.25|1.2469538831327256|0.2985899833088898
0.26|1.208477373025193|0.2242897480649467
0.27|1.1803518373453|0.1803808534383071
0.28|1.154184498525251|0.14888274572330776
0.29|1.1248580873361216|0.12618348960383013
0.3|1.0989017850911096|0.1093060884295761
0.31|1.0822132065316163|0.09675052149251721
0.32|1.0629340592173968|0.08741459744693213
0.33|1.0479652936266894|0.0795054469074813
0.34|1.0333955245463118|0.07183082082908807
0.35|1.021510919697616|0.06390228926629435
0.36|1.0055156428058736|0.058111574474081724
0.37|0.9944621922320137|0.05230590762367936
0.38|0.9856364169773215|0.04632735826192761
0.39|0.972560085051476|0.042284706788145825
0.4|0.963575286917092|0.03952963637559297
0.41|0.9567808691372832|0.036297810373327286
0.42|0.9471908893192417|0.033948592048457744
0.43|0.9392707062666996|0.03166873720717672
0.44|0.9295870901389991|0.029911104758509426
0.45|0.922107054662131|0.027936829165340876
0.46|0.9142791225190803|0.026905165189575822
0.47|0.9058644538618525|0.026145007175848733
0.48|0.9000891075648134|0.024857220338724426
0.49|0.8924928980926002|0.024351233338082725
0.5|0.8859131534866569|0.023812463533904198
0.51|0.8811117534818915|0.02259044306444871
0.52|0.8750458781913978|0.021523785820448713
0.53|0.8707141593707002|0.020117373652492394
0.54|0.8683646636264594|0.01860060181659948
0.55|0.8648137806800477|0.01690564428542911
0.56|0.861783381103748|0.015164278796677654
0.57|0.8565991755135121|0.014010084643482953
0.58|0.8515793623479607|0.012985035342650494
0.59|0.84637307573662|0.012626017238949058
0.6|0.840207692724165|0.012976761520642815
0.61|0.833648984895485|0.013729427796707279
0.62|0.8284844550684615|0.014753758118542926
0.63|0.8236692115384344|0.01568552295604735
0.64|0.8186782847862477|0.016220731273699416
0.65|0.8134947813558905|0.016521494382864505
0.66|0.8082292005945226|0.016437666029358627
0.67|0.8046503413535132|0.016037477301886496
0.68|0.8015994914076678|0.015261447452609472
0.69|0.7979125958942936|0.014291304940918981
0.7|0.7936766002148956|0.01346763088756683
0.71|0.7887781037083927|0.013072121106857088
0.72|0.7852070165230195|0.012663943400107644
0.73|0.7827492708231744|0.012051097129754525
0.74|0.7795431504425369|0.011470655992241138
0.75|0.7751688646215718|0.011221417260645235
0.76|0.7720733496542755|0.01114684629692478
0.77|0.7706117987738409|0.01073298802597398
0.78|0.7675069757564199|0.010180232313788626
0.79|0.7651702661751988|0.009493912574142171
0.8|0.7623278541349218|0.00891838720388966
0.81|0.7593329422015968|0.008690180825918119
0.82|0.7574305002730763|0.00842384752995007
0.83|0.75537614149474|0.007963617800715028
0.84|0.7540373020002521|0.007367918293870674
0.85|0.7517593496181545|0.007105178455280577
0.86|0.7492086679597811|0.007025498440043812
0.87|0.7474460310790189|0.006683391842873739
0.88|0.746788466642342|0.006247566836181477
0.89|0.7453546557012819|0.0057462336848020535
0.9|0.7446039302461656|0.0052272668400742146
0.91|0.743798708815557|0.004811620389943866
0.92|0.743875438139112|0.004228384170167014
0.93|0.7432401304416563|0.003649836253635394
0.94|0.7418992780400341|0.0030170969983876364
0.95|0.7398082477943176|0.0027481237176886367
0.96|0.7388015718674851|0.0027802850929612706
0.97|0.7376860825344354|0.002971681219125304
0.98|0.7383259661723977|0.00284405555258938
0.99|0.7423084882321296|0.0025630656085315314
1.0|0.7490920782884842|0.0034270179194011547
